Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.638169,0.621898,0.1848,0.8294,0.1770,0.1825,0.2541,1.1737,0.0002
2,0.622521,0.619458,0.2052,0.8307,0.1764,0.1839,0.2541,1.1698,0.0003
3,0.619411,0.616650,0.2026,0.8315,0.1751,0.1807,0.2541,1.1615,0.0003
4,0.617570,0.615921,0.1915,0.8317,0.1745,0.1809,0.2541,1.1573,0.0003
5,0.616068,0.615289,0.1987,0.8319,0.1742,0.1796,0.2541,1.1556,0.0003
6,0.614836,0.614513,0.2043,0.8322,0.1742,0.1787,0.2541,1.1556,0.0003
7,0.613663,0.614678,0.2050,0.8324,0.1744,0.1786,0.2541,1.1566,0.0003
8,0.612730,0.614208,0.2036,0.8324,0.1742,0.1792,0.2541,1.1554,0.0002
9,0.611808,0.614328,0.2005,0.8324,0.1746,0.1789,0.2541,1.1581,0.0002
10,0.610721,0.614752,0.2071,0.8326,0.1742,0.1782,0.2541,1.1556,0.0002
11,0.609696,0.614747,0.2051,0.8325,0.1749,0.1790,0.2541,1.1601,0.0002
12,0.608651,0.615934,0.2017,0.8324,0.1752,0.1785,0.2541,1.1617,0.0003
13,0.607494,0.615720,0.2027,0.8324,0.1754,0.1790,0.2541,1.1634,0.0003
