Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.443349,0.433074,0.2457,0.8911,0.1005,0.1079,0.1736,N/A,0.0003
2,0.435126,0.431858,0.2586,0.8920,0.0999,0.1061,0.1736,N/A,0.0003
3,0.433122,0.430508,0.2505,0.8924,0.0996,0.1052,0.1736,N/A,0.0002
4,0.431814,0.429306,0.2584,0.8927,0.0993,0.1042,0.1736,N/A,0.0002
5,0.430960,0.428946,0.2564,0.8928,0.0989,0.1050,0.1736,N/A,0.0002
6,0.430286,0.428910,0.2601,0.8929,0.0990,0.1043,0.1736,N/A,0.0002
7,0.429732,0.428824,0.2602,0.8929,0.0994,0.1056,0.1736,N/A,0.0002
8,0.429295,0.428356,0.2624,0.8929,0.0991,0.1041,0.1736,N/A,0.0002
9,0.428875,0.428520,0.2634,0.8930,0.0991,0.1049,0.1736,N/A,0.0002
10,0.428521,0.428252,0.2578,0.8930,0.0990,0.1056,0.1736,N/A,0.0002
